baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cnpy1	96.6776971777743	-2.91900605069346	1.04614039686001	-2.79026224343773	0.00526653649416709	0.0477728040031157
Cabyr	110.7301106915	-2.91868565402895	0.768220293018582	-3.7992821597572	0.000145115802505486	0.00276414833664349
Fgf10	800.539486758457	-2.90707145172035	0.277920189716849	-10.46009451376	0.000000000000000000000000131724207097865	0.0000000000000000000000873394218871748
Slc13a5	380.3031468133	-2.89464794746094	0.361945571890046	-7.9974674986224	0.00000000000000127004283805348	0.000000000000276313694954011
Nt5dc2	68.5420048195606	-2.86410234331435	0.95563820166848	-2.99705718996354	0.00272599568208476	0.0289304602723691
Ust	216.66749930549	-2.85575662168484	0.555056946581794	-5.14497951835652	0.000000267549999797584	0.000011341142801674
Plekhg4	88.8437466991202	-2.84197874963202	0.64772855838429	-4.38760760637313	0.0000114604297107666	0.000309854414160609
Frmd5	89.9749999678594	-2.83720845584378	0.975718052645365	-2.90781588815698	0.00363962547844027	0.0361824708516828
Relb	45.2575303949588	-2.82163612182108	0.98886143619854	-2.85341911265975	0.00432515371458827	0.0412489317273473
Cryge	42.2217827930871	-2.81362219918339	0.994845098707358	-2.8282012977088	0.00468103621858138	0.0436997555989171
1700034H15Rik	65.3584763909431	-2.80955135794508	0.974732031593735	-2.88238332883277	0.00394679266933609	0.0385289223295189
Jak3	525.524434989054	-2.80908165857434	0.367875194288771	-7.63596377843647	0.0000000000000224137336230364	0.00000000000390111033708949
Trps1	635.370759627686	-2.80669437424346	0.409932640680035	-6.84672088952823	0.00000000000755619366052347	0.000000000835019369278801
Rap1gap2	264.935294246668	-2.80564684317832	0.626107427442735	-4.48109496901781	0.00000742610553185815	0.000213638622780151
Abcg1	167.656761387013	-2.7888770249576	0.48652463224041	-5.73224219319591	0.00000000991116119754038	0.000000600013080498053
Mamdc2	91.7954356921463	-2.78364442250834	0.769138505451031	-3.61917184327676	0.000295547336262643	0.0049640544151038
Lifr	523.119552097186	-2.76976702707558	0.280614810427675	-9.87035225565706	0.0000000000000000000000559677168271533	0.0000000000000000000299728649654339
Otx2	753.299292228187	-2.76869423352752	0.329439682233398	-8.40425238015494	0.0000000000000000430595801111368	0.0000000000000117561096758327
Dse	640.930130931516	-2.76146166014153	0.408192040282732	-6.7651041363492	0.0000000000133213347985969	0.00000000137397233878269
Trpa1	129.35031059506	-2.74807638558687	0.57066378318253	-4.81557874631739	0.00000146773867403785	0.0000512200333265741
Pdk2	112.103850956062	-2.73702525892514	0.703104643449512	-3.89277084773182	0.0000991057562614805	0.00200573917178031
Upp1	2948.53325685322	-2.72998488543494	0.202843749035805	-13.4585605837578	0.0000000000000000000000000000000000000000274205867623094	0.0000000000000000000000000000000000000636340416797327
Meis1	270.679705446551	-2.71667169380685	0.480585613037752	-5.65283608186882	0.0000000157821801744786	0.000000900619167005903
Tbx15	2984.0866399411	-2.70414037248051	0.234331336367636	-11.5398154356874	0.000000000000000000000000000000831033386932132	0.000000000000000000000000000890100683049462
Slc1a3	297.819299866074	-2.7018136363397	0.475693232191713	-5.67973949070358	0.0000000134900044176134	0.000000782645089628535
Mpdz	271.257184756997	-2.69189751614275	0.709258107229297	-3.7953708088845	0.000147422948066174	0.00280043264512062
Gm17821	124.961029332428	-2.65142834295845	0.721478592058422	-3.67499240052815	0.000237856494442785	0.00420827678350869
Sirpa	296.528207000372	-2.64109992642612	0.511306271792792	-5.16539708610583	0.000000239929012680781	0.0000102792971463606
Eps8	295.471260775824	-2.6211039819486	0.740042596014555	-3.54182853266064	0.000397363685547284	0.006301699268292
Fn1	18754.5272380519	-2.61366744868004	0.209906709716437	-12.4515669471016	0.0000000000000000000000000000000000137126224333178	0.0000000000000000000000000000000272763649659311
